"id","age_code","description"
"1","1","新生兒﹝未滿四週﹞"
"2","2","嬰兒(滿四週至未滿一歲)"
"3","3","一歲"
"4","4","二歲"
"5","5","三歲"
"6","6","四歲"
"7","7","5-9歲"
"8","8","10-14歲"
"9","9","15-19歲"
"10","10","20-24歲"
"11","11","25-29歲"
"12","12","30-34歲"
"13","13","35-39歲"
"14","14","40-44歲"
"15","15","45-49歲"
"16","16","50-54歲"
"17","17","55-59歲"
"18","18","60-64歲"
"19","19","65-69歲"
"20","20","70-74歲"
"21","21","75-79歲"
"22","22","80-84歲"
"23","23","85-89歲"
"24","24","90-94歲"
"25","25","95-99歲"
"26","26","100歲以上"
"27","99","不詳"
